voucher_id,date,debit_account,credit_account,debit,credit,description,posted_by,approved_by,entry_type,source_system
JE0001,2024-01-15,Cash,Revenue,125430.75,125430.75,Daily sales posting,system_bot,finance_mgr,system,ERP
JE0002,2024-02-29,Expense,Accrued Liabilities,45000,45000,Monthly accrual for utilities,accountant_a,finance_mgr,manual,ERP
JE0003,2024-03-31,Revenue,Other Receivables,500000,500000,Reclass revenue balance,accountant_b,finance_mgr,manual,ERP
JE0004,2024-04-13,Other Expenses,Cash,100000,100000,Other processing,accountant_c,accountant_c,manual,ERP
JE0005,2024-05-20,Inventory,Accounts Payable,38642.12,38642.12,Vendor invoice posting,system_bot,finance_mgr,system,ERP
JE0006,2024-06-30,Provision Expense,Provision Liability,300000,300000,Provision estimate true-up,controller,finance_director,manual,ERP
JE0007,2024-07-08,Cash,Accounts Receivable,78000,78000,Customer receipt,system_bot,finance_mgr,system,ERP
JE0008,2024-08-31,Expense,Prepaid Expense,250000,250000,Adjustment,accountant_d,finance_mgr,manual,ERP
JE0009,2024-09-30,Intercompany Receivable,Revenue,600000,600000,IC cleanup,controller,finance_director,manual,ERP
JE0010,2024-10-18,Accounts Payable,Cash,42190.55,42190.55,Vendor payment,system_bot,finance_mgr,system,ERP
JE0011,2024-11-30,Revenue,Expense,1000000,1000000,Year-end true up,controller,controller,manual,ERP
JE0012,2024-12-29,Accrued Liabilities,Revenue,900000,900000,Reverse accrual,accountant_b,finance_mgr,manual,ERP
JE0013,2024-12-31,Expense,Other Receivables,800000,800000,Clear balance,finance_director,finance_director,manual,ERP
JE0014,2024-12-31,Cash,Revenue,12440.3,12440.3,Daily sales posting,system_bot,finance_mgr,system,ERP
JE0015,2024-12-31,Other Receivables,Other Income,500000,500000,Temporary posting,accountant_e,finance_mgr,manual,ERP
