voucher_id,date,debit_account,credit_account,debit,credit,amount,description,posted_by,approved_by,entry_type,risk_score,risk_flags,risk_reasons,suggested_documents,inquiry_questions,testing_steps,conclusion_placeholder
JE0011,2024-11-30,Revenue,Expense,1000000.00,1000000.00,1000000.00,Year-end true up,controller,controller,manual,130,manual_entry; period_end; weekend_posting; amount_above_p99; round_amount; high_risk_keyword; unusual_account_pair; same_poster_approver,"该分录为手工分录; 该分录在月末最后几天入账; 该分录在周末入账; 金额高于P99阈值（986,000.00）; 该分录为大额整数金额; 摘要命中高风险关键词：true up; 存在异常科目组合：Revenue -> Expense; 制单人与审批人为同一人",业务支持文件; 会计处理说明; 分录审批记录; 分录支持性文件; 原始分录支持; 合同/发票; 复核记录; 审批流记录; 期后结算或回款记录; 科目映射依据; 管理层/财务人员说明; 职责分离说明; 调整计算表; 金额计算过程,该分录为何采用手工方式或在期末入账？是否经过适当审批？ 摘要中提到的调整、重分类、冲销或计提对应什么业务事项？ 为什么该业务事项需要使用这一借贷科目组合？ 该金额如何确定？是否与合同、发票或计算表一致？ 为什么该分录由同一人员制单并审批？是否存在审批流程绕过？,检查分录审批记录、业务背景说明及相关支持性文件。 将调整金额追溯至计算表、原始单据或复核记录。 评估科目组合是否与业务实质一致，是否存在不寻常的重分类或利润调节迹象。 重新计算金额，并与合同、发票、计算表或期后结算记录核对。 检查审批流是否被覆盖，以及是否存在职责分离不足。,待获取支持性文件及询问答复后形成初步判断。
JE0003,2024-03-31,Revenue,Other Receivables,500000.00,500000.00,500000.00,Reclass revenue balance,accountant_b,finance_mgr,manual,98,manual_entry; period_end; weekend_posting; round_amount; repeated_amount; high_risk_keyword; unusual_account_pair,该分录为手工分录; 该分录在月末最后几天入账; 该分录在周末入账; 该分录为大额整数金额; 该大额金额在总体中重复出现; 摘要命中高风险关键词：reclass; 存在异常科目组合：Revenue -> Other Receivables,业务支持文件; 会计处理说明; 分录审批记录; 分录支持性文件; 原始分录支持; 合同/发票; 复核记录; 期后结算或回款记录; 科目映射依据; 管理层/财务人员说明; 调整计算表; 金额计算过程,该分录为何采用手工方式或在期末入账？是否经过适当审批？ 摘要中提到的调整、重分类、冲销或计提对应什么业务事项？ 为什么该业务事项需要使用这一借贷科目组合？ 该金额如何确定？是否与合同、发票或计算表一致？,检查分录审批记录、业务背景说明及相关支持性文件。 将调整金额追溯至计算表、原始单据或复核记录。 评估科目组合是否与业务实质一致，是否存在不寻常的重分类或利润调节迹象。 重新计算金额，并与合同、发票、计算表或期后结算记录核对。,待获取支持性文件及询问答复后形成初步判断。
JE0009,2024-09-30,Intercompany Receivable,Revenue,600000.00,600000.00,600000.00,IC cleanup,controller,finance_director,manual,90,manual_entry; period_end; round_amount; vague_description; high_risk_keyword; unusual_account_pair,该分录为手工分录; 该分录在月末最后几天入账; 该分录为大额整数金额; 摘要较短或表述较模糊; 摘要命中高风险关键词：cleanup; 存在异常科目组合：Intercompany Receivable -> Revenue,业务支持文件; 会计处理说明; 分录审批记录; 分录支持性文件; 原始分录支持; 合同/发票; 复核记录; 期后结算或回款记录; 科目映射依据; 管理层/财务人员说明; 调整计算表; 金额计算过程,该分录为何采用手工方式或在期末入账？是否经过适当审批？ 摘要中提到的调整、重分类、冲销或计提对应什么业务事项？ 为什么该业务事项需要使用这一借贷科目组合？ 该金额如何确定？是否与合同、发票或计算表一致？,检查分录审批记录、业务背景说明及相关支持性文件。 将调整金额追溯至计算表、原始单据或复核记录。 评估科目组合是否与业务实质一致，是否存在不寻常的重分类或利润调节迹象。 重新计算金额，并与合同、发票、计算表或期后结算记录核对。,待获取支持性文件及询问答复后形成初步判断。
JE0012,2024-12-29,Accrued Liabilities,Revenue,900000.00,900000.00,900000.00,Reverse accrual,accountant_b,finance_mgr,manual,90,manual_entry; period_end; weekend_posting; round_amount; high_risk_keyword; unusual_account_pair,"该分录为手工分录; 该分录在月末最后几天入账; 该分录在周末入账; 该分录为大额整数金额; 摘要命中高风险关键词：reverse, accrual; 存在异常科目组合：Accrued Liabilities -> Revenue",业务支持文件; 会计处理说明; 分录审批记录; 分录支持性文件; 原始分录支持; 合同/发票; 复核记录; 期后结算或回款记录; 科目映射依据; 管理层/财务人员说明; 调整计算表; 金额计算过程,该分录为何采用手工方式或在期末入账？是否经过适当审批？ 摘要中提到的调整、重分类、冲销或计提对应什么业务事项？ 为什么该业务事项需要使用这一借贷科目组合？ 该金额如何确定？是否与合同、发票或计算表一致？,检查分录审批记录、业务背景说明及相关支持性文件。 将调整金额追溯至计算表、原始单据或复核记录。 评估科目组合是否与业务实质一致，是否存在不寻常的重分类或利润调节迹象。 重新计算金额，并与合同、发票、计算表或期后结算记录核对。,待获取支持性文件及询问答复后形成初步判断。
JE0008,2024-08-31,Expense,Prepaid Expense,250000.00,250000.00,250000.00,Adjustment,accountant_d,finance_mgr,manual,80,manual_entry; period_end; weekend_posting; round_amount; vague_description; high_risk_keyword,"该分录为手工分录; 该分录在月末最后几天入账; 该分录在周末入账; 该分录为大额整数金额; 摘要较短或表述较模糊; 摘要命中高风险关键词：adjustment, adjust",分录审批记录; 分录支持性文件; 原始分录支持; 合同/发票; 复核记录; 期后结算或回款记录; 管理层/财务人员说明; 调整计算表; 金额计算过程,该分录为何采用手工方式或在期末入账？是否经过适当审批？ 摘要中提到的调整、重分类、冲销或计提对应什么业务事项？ 该金额如何确定？是否与合同、发票或计算表一致？,检查分录审批记录、业务背景说明及相关支持性文件。 将调整金额追溯至计算表、原始单据或复核记录。 重新计算金额，并与合同、发票、计算表或期后结算记录核对。,待获取支持性文件及询问答复后形成初步判断。
JE0015,2024-12-31,Other Receivables,Other Income,500000.00,500000.00,500000.00,Temporary posting,accountant_e,finance_mgr,manual,78,manual_entry; period_end; round_amount; repeated_amount; vague_description; high_risk_keyword,该分录为手工分录; 该分录在月末最后几天入账; 该分录为大额整数金额; 该大额金额在总体中重复出现; 摘要较短或表述较模糊; 摘要命中高风险关键词：temporary,分录审批记录; 分录支持性文件; 原始分录支持; 合同/发票; 复核记录; 期后结算或回款记录; 管理层/财务人员说明; 调整计算表; 金额计算过程,该分录为何采用手工方式或在期末入账？是否经过适当审批？ 摘要中提到的调整、重分类、冲销或计提对应什么业务事项？ 该金额如何确定？是否与合同、发票或计算表一致？,检查分录审批记录、业务背景说明及相关支持性文件。 将调整金额追溯至计算表、原始单据或复核记录。 重新计算金额，并与合同、发票、计算表或期后结算记录核对。,待获取支持性文件及询问答复后形成初步判断。
JE0006,2024-06-30,Provision Expense,Provision Liability,300000.00,300000.00,300000.00,Provision estimate true-up,controller,finance_director,manual,70,manual_entry; period_end; weekend_posting; round_amount; high_risk_keyword,"该分录为手工分录; 该分录在月末最后几天入账; 该分录在周末入账; 该分录为大额整数金额; 摘要命中高风险关键词：provision, estimate, true-up",分录审批记录; 分录支持性文件; 原始分录支持; 合同/发票; 复核记录; 期后结算或回款记录; 管理层/财务人员说明; 调整计算表; 金额计算过程,该分录为何采用手工方式或在期末入账？是否经过适当审批？ 摘要中提到的调整、重分类、冲销或计提对应什么业务事项？ 该金额如何确定？是否与合同、发票或计算表一致？,检查分录审批记录、业务背景说明及相关支持性文件。 将调整金额追溯至计算表、原始单据或复核记录。 重新计算金额，并与合同、发票、计算表或期后结算记录核对。,待获取支持性文件及询问答复后形成初步判断。
JE0013,2024-12-31,Expense,Other Receivables,800000.00,800000.00,800000.00,Clear balance,finance_director,finance_director,manual,70,manual_entry; period_end; round_amount; vague_description; same_poster_approver,该分录为手工分录; 该分录在月末最后几天入账; 该分录为大额整数金额; 摘要较短或表述较模糊; 制单人与审批人为同一人,分录审批记录; 分录支持性文件; 合同/发票; 审批流记录; 期后结算或回款记录; 管理层/财务人员说明; 职责分离说明; 金额计算过程,该分录为何采用手工方式或在期末入账？是否经过适当审批？ 该金额如何确定？是否与合同、发票或计算表一致？ 为什么该分录由同一人员制单并审批？是否存在审批流程绕过？,检查分录审批记录、业务背景说明及相关支持性文件。 重新计算金额，并与合同、发票、计算表或期后结算记录核对。 检查审批流是否被覆盖，以及是否存在职责分离不足。,待获取支持性文件及询问答复后形成初步判断。
JE0004,2024-04-13,Other Expenses,Cash,100000.00,100000.00,100000.00,Other processing,accountant_c,accountant_c,manual,65,manual_entry; weekend_posting; round_amount; vague_description; same_poster_approver,该分录为手工分录; 该分录在周末入账; 该分录为大额整数金额; 摘要较短或表述较模糊; 制单人与审批人为同一人,分录审批记录; 分录支持性文件; 合同/发票; 审批流记录; 期后结算或回款记录; 管理层/财务人员说明; 职责分离说明; 金额计算过程,该分录为何采用手工方式或在期末入账？是否经过适当审批？ 该金额如何确定？是否与合同、发票或计算表一致？ 为什么该分录由同一人员制单并审批？是否存在审批流程绕过？,检查分录审批记录、业务背景说明及相关支持性文件。 重新计算金额，并与合同、发票、计算表或期后结算记录核对。 检查审批流是否被覆盖，以及是否存在职责分离不足。,待获取支持性文件及询问答复后形成初步判断。
JE0002,2024-02-29,Expense,Accrued Liabilities,45000.00,45000.00,45000.00,Monthly accrual for utilities,accountant_a,finance_mgr,manual,50,manual_entry; period_end; high_risk_keyword,该分录为手工分录; 该分录在月末最后几天入账; 摘要命中高风险关键词：accrual,分录审批记录; 分录支持性文件; 原始分录支持; 复核记录; 管理层/财务人员说明; 调整计算表,该分录为何采用手工方式或在期末入账？是否经过适当审批？ 摘要中提到的调整、重分类、冲销或计提对应什么业务事项？,检查分录审批记录、业务背景说明及相关支持性文件。 将调整金额追溯至计算表、原始单据或复核记录。,待获取支持性文件及询问答复后形成初步判断。
